Mapping parameters for Sebastes diploproa (Splitnose rockfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 67 |  77,
Bounding Box (NSWE): ,60,27,-168,-109

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Sebastes,diploproa,54.25,-128.75,7512:248:2,0.01
Sebastes,diploproa,53.75,-128.25,7512:238:3,0.01
Sebastes,diploproa,53.25,-128.75,7512:238:2,0.02
Sebastes,diploproa,53.25,-128.25,7512:238:1,0.01
Sebastes,diploproa,52.75,-127.75,7512:227:4,0.01
Sebastes,diploproa,52.75,-127.25,7512:227:3,0.01
Sebastes,diploproa,52.25,-127.25,7512:227:1,0.01
Sebastes,diploproa,51.75,-127.25,7512:217:3,0.02
Sebastes,diploproa,51.25,-126.75,7512:216:2,0.01
Sebastes,diploproa,51.25,-125.75,7512:215:2,0.01
Sebastes,diploproa,50.75,-125.75,7512:205:4,0.01
Sebastes,diploproa,50.75,-125.25,7512:205:3,0.01
Sebastes,diploproa,50.75,-124.75,7512:104:4,0.01
Sebastes,diploproa,50.25,-124.25,7512:104:1,0.01
Sebastes,diploproa,50.25,-123.75,7512:103:2,0.01
Sebastes,diploproa,48.25,-132.75,7413:382:2,0.11
Sebastes,diploproa,46.75,-131.25,7413:361:3,0.02
Sebastes,diploproa,46.75,-130.75,7413:360:4,0.06
Sebastes,diploproa,46.25,-130.25,7413:360:1,0.07
Sebastes,diploproa,49.75,-128.25,7412:498:3,0.04
Sebastes,diploproa,49.75,-126.25,7412:496:3,0.01
Sebastes,diploproa,49.25,-125.25,7412:495:1,0.02
Sebastes,diploproa,45.75,-125.25,7412:455:3,0.02
Sebastes,diploproa,49.75,-123.25,7412:393:3,0.01
Sebastes,diploproa,49.25,-122.75,7412:392:2,0.12
Sebastes,diploproa,48.75,-122.25,7412:382:3,0.14
Sebastes,diploproa,46.25,-123.75,7412:363:2,0.12
Sebastes,diploproa,38.25,-122.75,7312:382:2,0.19
Sebastes,diploproa,38.25,-122.25,7312:382:1,0.07
Sebastes,diploproa,34.25,-118.25,7311:248:1,0.11
Sebastes,diploproa,32.25,-119.75,7311:229:2,0.09
Sebastes,diploproa,32.25,-117.75,7311:227:2,0.16
Sebastes,diploproa,31.75,-119.25,7311:219:3,0.05
Sebastes,diploproa,31.25,-118.75,7311:218:2,0.03
Sebastes,diploproa,30.75,-117.25,7311:207:3,0.09
Sebastes,diploproa,30.25,-115.75,7311:205:2,0.15
Sebastes,diploproa,29.25,-118.25,7211:498:1,0.18
Sebastes,diploproa,28.75,-118.25,7211:488:3,0.07
Sebastes,diploproa,27.75,-115.75,7211:475:4,0.07
Sebastes,diploproa,27.75,-115.25,7211:475:3,0.15
Sebastes,diploproa,28.25,-114.75,7211:384:2,0.18
Sebastes,diploproa,28.25,-114.25,7211:384:1,0.08
Sebastes,diploproa,27.75,-114.75,7211:374:4,0.06
Sebastes,diploproa,27.25,-114.75,7211:374:2,0.01
Sebastes,diploproa,53.25,-167.75,7516:237:2,0.23
Sebastes,diploproa,53.25,-167.25,7516:237:1,0.28
Sebastes,diploproa,53.25,-166.75,7516:236:2,0.35
Sebastes,diploproa,52.75,-167.75,7516:227:4,0.36
Sebastes,diploproa,52.75,-167.25,7516:227:3,0.27
Sebastes,diploproa,53.75,-164.75,7516:134:4,0.34
Sebastes,diploproa,53.75,-164.25,7516:134:3,0.39
Sebastes,diploproa,56.25,-142.25,7514:362:1,0.23
Sebastes,diploproa,55.75,-141.75,7514:351:4,0.20
Sebastes,diploproa,55.25,-135.25,7513:455:1,0.32
Sebastes,diploproa,56.75,-133.75,7513:363:4,0.20
Sebastes,diploproa,55.25,-132.75,7513:352:2,0.24
Sebastes,diploproa,53.25,-135.75,7513:235:2,0.21
Sebastes,diploproa,51.25,-127.25,7512:217:1,0.30
Sebastes,diploproa,49.75,-123.75,7412:393:4,0.29
Sebastes,diploproa,48.75,-123.75,7412:383:4,0.22
Sebastes,diploproa,48.25,-123.75,7412:383:2,0.36
Sebastes,diploproa,48.25,-123.25,7412:383:1,0.32
Sebastes,diploproa,48.25,-122.75,7412:382:2,0.21
Sebastes,diploproa,48.25,-122.25,7412:382:1,0.32
Sebastes,diploproa,47.75,-122.25,7412:372:3,0.35
Sebastes,diploproa,46.25,-124.25,7412:364:1,0.22
Sebastes,diploproa,46.75,-123.75,7412:363:4,0.39
Sebastes,diploproa,37.25,-122.75,7312:372:2,0.25
Sebastes,diploproa,37.25,-122.25,7312:372:1,0.24
Sebastes,diploproa,34.75,-120.25,7312:140:3,0.23
Sebastes,diploproa,32.75,-120.25,7312:120:3,0.26
Sebastes,diploproa,33.75,-117.75,7311:237:4,0.32
Sebastes,diploproa,32.75,-119.75,7311:229:4,0.39
Sebastes,diploproa,32.25,-119.25,7311:229:1,0.26
Sebastes,diploproa,32.25,-116.75,7311:226:2,0.23
Sebastes,diploproa,31.25,-118.25,7311:218:1,0.20
Sebastes,diploproa,31.25,-116.25,7311:216:1,0.29
Sebastes,diploproa,29.75,-117.25,7211:497:3,0.22
Sebastes,diploproa,29.75,-116.75,7211:496:4,0.35
Sebastes,diploproa,29.25,-116.75,7211:496:2,0.24
Sebastes,diploproa,29.25,-116.25,7211:496:1,0.33
Sebastes,diploproa,28.75,-115.75,7211:485:4,0.34
Sebastes,diploproa,28.25,-115.75,7211:485:2,0.23
Sebastes,diploproa,28.25,-115.25,7211:485:1,0.25
Sebastes,diploproa,28.75,-114.75,7211:384:4,0.36
Sebastes,diploproa,53.25,-166.25,7516:236:1,0.40
Sebastes,diploproa,53.25,-165.75,7516:235:2,0.44
Sebastes,diploproa,53.75,-163.75,7516:133:4,0.43
Sebastes,diploproa,53.75,-163.25,7516:133:3,0.47
Sebastes,diploproa,55.75,-133.25,7513:353:3,0.53
Sebastes,diploproa,54.75,-129.75,7512:249:4,0.48
Sebastes,diploproa,53.75,-129.75,7512:239:4,0.46
Sebastes,diploproa,50.25,-125.25,7512:205:1,0.44
Sebastes,diploproa,50.25,-124.75,7512:104:2,0.45
Sebastes,diploproa,49.75,-124.75,7412:394:4,0.46
Sebastes,diploproa,49.75,-124.25,7412:394:3,0.52
Sebastes,diploproa,49.25,-124.25,7412:394:1,0.47
Sebastes,diploproa,49.25,-123.75,7412:393:2,0.52
Sebastes,diploproa,49.25,-123.25,7412:393:1,0.58
Sebastes,diploproa,48.75,-123.25,7412:383:3,0.45
Sebastes,diploproa,48.75,-122.75,7412:382:4,0.47
Sebastes,diploproa,47.25,-122.25,7412:372:1,0.41
Sebastes,diploproa,44.75,-125.25,7412:245:3,0.43
Sebastes,diploproa,36.75,-122.25,7312:362:3,0.58
Sebastes,diploproa,36.75,-121.75,7312:361:4,0.41
Sebastes,diploproa,36.25,-121.25,7312:361:1,0.56
Sebastes,diploproa,33.25,-118.25,7311:238:1,0.57
Sebastes,diploproa,33.25,-117.75,7311:237:2,0.47
Sebastes,diploproa,32.75,-119.25,7311:229:3,0.55
Sebastes,diploproa,32.25,-118.75,7311:228:2,0.48
Sebastes,diploproa,32.75,-117.75,7311:227:4,0.47
Sebastes,diploproa,32.75,-117.25,7311:227:3,0.53
Sebastes,diploproa,32.25,-117.25,7311:227:1,0.59
Sebastes,diploproa,31.75,-117.75,7311:217:4,0.51
Sebastes,diploproa,31.75,-117.25,7311:217:3,0.54
Sebastes,diploproa,29.75,-116.25,7211:496:3,0.47
Sebastes,diploproa,29.25,-115.75,7211:495:2,0.55
Sebastes,diploproa,28.75,-115.25,7211:485:3,0.43
Sebastes,diploproa,59.25,-151.25,7515:391:1,0.69
Sebastes,diploproa,58.75,-151.25,7515:381:3,0.74
Sebastes,diploproa,58.75,-150.75,7515:380:4,0.78
Sebastes,diploproa,58.25,-150.25,7515:380:1,0.71
Sebastes,diploproa,57.25,-151.25,7515:371:1,0.68
Sebastes,diploproa,57.75,-150.75,7515:370:4,0.65
Sebastes,diploproa,57.75,-150.25,7515:370:3,0.75
Sebastes,diploproa,57.25,-150.75,7515:370:2,0.76
Sebastes,diploproa,56.75,-151.75,7515:361:4,0.74
Sebastes,diploproa,56.75,-151.25,7515:361:3,0.79
Sebastes,diploproa,58.25,-149.75,7514:489:2,0.78
Sebastes,diploproa,58.75,-136.25,7513:486:3,0.75
Sebastes,diploproa,58.75,-135.25,7513:485:3,0.78
Sebastes,diploproa,58.25,-135.75,7513:485:2,0.77
Sebastes,diploproa,58.25,-135.25,7513:485:1,0.79
Sebastes,diploproa,58.25,-134.75,7513:384:2,0.76
Sebastes,diploproa,58.25,-134.25,7513:384:1,0.73
Sebastes,diploproa,57.75,-134.75,7513:374:4,0.79
Sebastes,diploproa,57.75,-134.25,7513:374:3,0.73
Sebastes,diploproa,57.25,-134.25,7513:374:1,0.77
Sebastes,diploproa,57.75,-133.75,7513:373:4,0.71
Sebastes,diploproa,57.25,-133.75,7513:373:2,0.71
Sebastes,diploproa,57.25,-133.25,7513:373:1,0.73
Sebastes,diploproa,53.25,-131.25,7513:131:1,0.68
Sebastes,diploproa,54.25,-129.75,7512:249:2,0.60
Sebastes,diploproa,50.25,-127.25,7512:207:1,0.62
Sebastes,diploproa,47.25,-125.25,7412:475:1,0.72
Sebastes,diploproa,48.75,-124.25,7412:384:3,0.60
Sebastes,diploproa,48.25,-124.25,7412:384:1,0.63
Sebastes,diploproa,47.75,-124.25,7412:374:3,0.65
Sebastes,diploproa,46.75,-124.25,7412:364:3,0.78
Sebastes,diploproa,45.75,-123.75,7412:353:4,0.69
Sebastes,diploproa,41.75,-124.25,7412:114:3,0.71
Sebastes,diploproa,41.25,-124.25,7412:114:1,0.74
Sebastes,diploproa,38.75,-123.25,7312:383:3,0.66
Sebastes,diploproa,33.75,-118.75,7311:238:4,0.79
Sebastes,diploproa,33.75,-118.25,7311:238:3,0.71
Sebastes,diploproa,33.25,-118.75,7311:238:2,0.78
Sebastes,diploproa,32.75,-118.75,7311:228:4,0.72
Sebastes,diploproa,32.75,-118.25,7311:228:3,0.62
Sebastes,diploproa,32.25,-118.25,7311:228:1,0.69
Sebastes,diploproa,31.75,-116.75,7311:216:4,0.71
Sebastes,diploproa,31.25,-116.75,7311:216:2,0.74
Sebastes,diploproa,30.75,-116.25,7311:206:3,0.78
Sebastes,diploproa,30.25,-116.25,7311:206:1,0.63
Sebastes,diploproa,29.25,-115.25,7211:495:1,0.70
Sebastes,diploproa,59.25,-150.75,7515:390:2,0.80
Sebastes,diploproa,59.25,-150.25,7515:390:1,0.85
Sebastes,diploproa,58.75,-150.25,7515:380:3,0.83
Sebastes,diploproa,57.25,-150.25,7515:370:1,0.83
Sebastes,diploproa,59.75,-149.75,7514:499:4,0.82
Sebastes,diploproa,59.75,-149.25,7514:499:3,0.87
Sebastes,diploproa,59.25,-149.75,7514:499:2,0.89
Sebastes,diploproa,59.25,-149.25,7514:499:1,0.94
Sebastes,diploproa,59.75,-148.75,7514:498:4,0.90
Sebastes,diploproa,59.75,-148.25,7514:498:3,0.91
Sebastes,diploproa,59.25,-148.75,7514:498:2,0.97
Sebastes,diploproa,59.25,-148.25,7514:498:1,1.00
Sebastes,diploproa,59.75,-147.75,7514:497:4,0.93
Sebastes,diploproa,59.75,-147.25,7514:497:3,1.00
Sebastes,diploproa,59.25,-147.75,7514:497:2,1.00
Sebastes,diploproa,59.25,-147.25,7514:497:1,1.00
Sebastes,diploproa,59.75,-146.75,7514:496:4,1.00
Sebastes,diploproa,59.75,-146.25,7514:496:3,1.00
Sebastes,diploproa,59.25,-146.75,7514:496:2,1.00
Sebastes,diploproa,59.25,-146.25,7514:496:1,1.00
Sebastes,diploproa,59.75,-145.75,7514:495:4,1.00
Sebastes,diploproa,59.75,-145.25,7514:495:3,1.00
Sebastes,diploproa,59.25,-145.75,7514:495:2,1.00
Sebastes,diploproa,59.25,-145.25,7514:495:1,1.00
Sebastes,diploproa,58.75,-149.75,7514:489:4,0.87
Sebastes,diploproa,58.75,-149.25,7514:489:3,0.91
Sebastes,diploproa,58.25,-149.25,7514:489:1,0.85
Sebastes,diploproa,58.75,-148.75,7514:488:4,0.96
Sebastes,diploproa,58.75,-148.25,7514:488:3,1.00
Sebastes,diploproa,58.25,-148.75,7514:488:2,0.91
Sebastes,diploproa,58.25,-148.25,7514:488:1,0.95
Sebastes,diploproa,58.75,-147.75,7514:487:4,1.00
Sebastes,diploproa,57.75,-149.75,7514:479:4,0.83
Sebastes,diploproa,57.75,-149.25,7514:479:3,0.88
Sebastes,diploproa,57.75,-148.75,7514:478:4,0.89
Sebastes,diploproa,59.75,-144.75,7514:394:4,1.00
Sebastes,diploproa,59.75,-144.25,7514:394:3,1.00
Sebastes,diploproa,59.25,-144.75,7514:394:2,1.00
Sebastes,diploproa,59.75,-143.75,7514:393:4,1.00
Sebastes,diploproa,59.75,-143.25,7514:393:3,1.00
Sebastes,diploproa,59.75,-142.75,7514:392:4,1.00
Sebastes,diploproa,59.75,-142.25,7514:392:3,1.00
Sebastes,diploproa,59.25,-142.25,7514:392:1,1.00
Sebastes,diploproa,59.75,-141.75,7514:391:4,1.00
Sebastes,diploproa,59.75,-141.25,7514:391:3,1.00
Sebastes,diploproa,59.25,-141.75,7514:391:2,1.00
Sebastes,diploproa,59.25,-141.25,7514:391:1,1.00
Sebastes,diploproa,59.75,-140.25,7514:390:3,1.00
Sebastes,diploproa,59.25,-140.75,7514:390:2,1.00
Sebastes,diploproa,59.25,-140.25,7514:390:1,1.00
Sebastes,diploproa,58.75,-141.25,7514:381:3,1.00
Sebastes,diploproa,58.75,-140.75,7514:380:4,1.00
Sebastes,diploproa,58.75,-140.25,7514:380:3,1.00
Sebastes,diploproa,59.75,-139.75,7513:499:4,0.98
Sebastes,diploproa,59.25,-139.75,7513:499:2,1.00
Sebastes,diploproa,59.25,-139.25,7513:499:1,1.00
Sebastes,diploproa,58.75,-139.75,7513:489:4,1.00
Sebastes,diploproa,58.75,-139.25,7513:489:3,1.00
Sebastes,diploproa,58.25,-139.75,7513:489:2,1.00
Sebastes,diploproa,58.25,-139.25,7513:489:1,1.00
Sebastes,diploproa,58.75,-138.75,7513:488:4,1.00
Sebastes,diploproa,58.75,-138.25,7513:488:3,1.00
Sebastes,diploproa,58.25,-138.75,7513:488:2,1.00
Sebastes,diploproa,58.25,-138.25,7513:488:1,1.00
Sebastes,diploproa,58.75,-137.75,7513:487:4,1.00
Sebastes,diploproa,58.75,-137.25,7513:487:3,0.96
Sebastes,diploproa,58.25,-137.75,7513:487:2,1.00
Sebastes,diploproa,58.25,-137.25,7513:487:1,1.00
Sebastes,diploproa,58.25,-136.75,7513:486:2,1.00
Sebastes,diploproa,58.25,-136.25,7513:486:1,0.86
Sebastes,diploproa,57.75,-138.25,7513:478:3,1.00
Sebastes,diploproa,57.75,-137.75,7513:477:4,1.00
Sebastes,diploproa,57.75,-137.25,7513:477:3,1.00
Sebastes,diploproa,57.75,-136.75,7513:476:4,1.00
Sebastes,diploproa,57.75,-136.25,7513:476:3,1.00
Sebastes,diploproa,57.25,-136.25,7513:476:1,1.00
Sebastes,diploproa,57.75,-135.75,7513:475:4,0.97
Sebastes,diploproa,57.75,-135.25,7513:475:3,0.87
Sebastes,diploproa,57.25,-135.75,7513:475:2,1.00
Sebastes,diploproa,57.25,-135.25,7513:475:1,0.99
Sebastes,diploproa,56.75,-136.25,7513:466:3,1.00
Sebastes,diploproa,56.75,-135.75,7513:465:4,1.00
Sebastes,diploproa,56.75,-135.25,7513:465:3,1.00
Sebastes,diploproa,56.25,-135.75,7513:465:2,1.00
Sebastes,diploproa,56.25,-135.25,7513:465:1,1.00
Sebastes,diploproa,55.75,-135.25,7513:455:3,1.00
Sebastes,diploproa,57.25,-134.75,7513:374:2,0.82
Sebastes,diploproa,56.75,-134.75,7513:364:4,0.86
Sebastes,diploproa,56.75,-134.25,7513:364:3,0.83
Sebastes,diploproa,56.25,-134.75,7513:364:2,1.00
Sebastes,diploproa,56.25,-134.25,7513:364:1,0.92
Sebastes,diploproa,56.75,-133.25,7513:363:3,0.83
Sebastes,diploproa,56.25,-133.75,7513:363:2,0.88
Sebastes,diploproa,56.25,-133.25,7513:363:1,0.93
Sebastes,diploproa,56.75,-132.75,7513:362:4,0.89
Sebastes,diploproa,56.25,-132.75,7513:362:2,1.00
Sebastes,diploproa,56.25,-132.25,7513:362:1,1.00
Sebastes,diploproa,55.75,-134.75,7513:354:4,1.00
Sebastes,diploproa,55.75,-134.25,7513:354:3,1.00
Sebastes,diploproa,55.25,-134.75,7513:354:2,1.00
Sebastes,diploproa,55.25,-134.25,7513:354:1,1.00
Sebastes,diploproa,55.75,-133.75,7513:353:4,1.00
Sebastes,diploproa,55.25,-133.75,7513:353:2,1.00
Sebastes,diploproa,55.25,-133.25,7513:353:1,1.00
Sebastes,diploproa,55.75,-132.75,7513:352:4,1.00
Sebastes,diploproa,55.75,-132.25,7513:352:3,1.00
Sebastes,diploproa,55.25,-132.25,7513:352:1,1.00
Sebastes,diploproa,55.75,-131.75,7513:351:4,1.00
Sebastes,diploproa,55.25,-131.75,7513:351:2,1.00
Sebastes,diploproa,55.25,-131.25,7513:351:1,1.00
Sebastes,diploproa,55.25,-130.75,7513:350:2,1.00
Sebastes,diploproa,55.25,-130.25,7513:350:1,1.00
Sebastes,diploproa,54.75,-134.25,7513:144:3,1.00
Sebastes,diploproa,54.75,-133.75,7513:143:4,1.00
Sebastes,diploproa,54.75,-133.25,7513:143:3,1.00
Sebastes,diploproa,54.25,-133.75,7513:143:2,1.00
Sebastes,diploproa,54.25,-133.25,7513:143:1,1.00
Sebastes,diploproa,54.75,-132.75,7513:142:4,1.00
Sebastes,diploproa,54.75,-132.25,7513:142:3,1.00
Sebastes,diploproa,54.25,-132.75,7513:142:2,1.00
Sebastes,diploproa,54.25,-132.25,7513:142:1,1.00
Sebastes,diploproa,54.75,-131.75,7513:141:4,1.00
Sebastes,diploproa,54.75,-131.25,7513:141:3,1.00
Sebastes,diploproa,54.25,-131.75,7513:141:2,1.00
Sebastes,diploproa,54.25,-131.25,7513:141:1,1.00
Sebastes,diploproa,54.75,-130.75,7513:140:4,1.00
Sebastes,diploproa,54.75,-130.25,7513:140:3,1.00
Sebastes,diploproa,54.25,-130.75,7513:140:2,1.00
Sebastes,diploproa,54.25,-130.25,7513:140:1,1.00
Sebastes,diploproa,53.75,-133.75,7513:133:4,1.00
Sebastes,diploproa,53.75,-133.25,7513:133:3,1.00
Sebastes,diploproa,53.25,-133.25,7513:133:1,1.00
Sebastes,diploproa,53.75,-132.75,7513:132:4,1.00
Sebastes,diploproa,53.75,-132.25,7513:132:3,1.00
Sebastes,diploproa,53.25,-132.75,7513:132:2,1.00
Sebastes,diploproa,53.25,-132.25,7513:132:1,1.00
Sebastes,diploproa,53.75,-131.75,7513:131:4,1.00
Sebastes,diploproa,53.75,-131.25,7513:131:3,0.82
Sebastes,diploproa,53.25,-131.75,7513:131:2,1.00
Sebastes,diploproa,53.75,-130.75,7513:130:4,1.00
Sebastes,diploproa,53.75,-130.25,7513:130:3,1.00
Sebastes,diploproa,53.25,-130.75,7513:130:2,1.00
Sebastes,diploproa,53.25,-130.25,7513:130:1,1.00
Sebastes,diploproa,52.75,-132.25,7513:122:3,1.00
Sebastes,diploproa,52.75,-131.75,7513:121:4,1.00
Sebastes,diploproa,52.75,-131.25,7513:121:3,1.00
Sebastes,diploproa,52.25,-131.75,7513:121:2,1.00
Sebastes,diploproa,52.25,-131.25,7513:121:1,1.00
Sebastes,diploproa,52.75,-130.75,7513:120:4,1.00
Sebastes,diploproa,52.75,-130.25,7513:120:3,1.00
Sebastes,diploproa,52.25,-130.75,7513:120:2,1.00
Sebastes,diploproa,52.25,-130.25,7513:120:1,1.00
Sebastes,diploproa,51.75,-131.25,7513:111:3,1.00
Sebastes,diploproa,51.75,-130.75,7513:110:4,1.00
Sebastes,diploproa,51.75,-130.25,7513:110:3,1.00
Sebastes,diploproa,51.25,-130.25,7513:110:1,1.00
Sebastes,diploproa,55.25,-129.75,7512:459:2,1.00
Sebastes,diploproa,53.75,-129.25,7512:239:3,1.00
Sebastes,diploproa,53.25,-129.75,7512:239:2,1.00
Sebastes,diploproa,53.25,-129.25,7512:239:1,1.00
Sebastes,diploproa,53.75,-128.75,7512:238:4,1.00
Sebastes,diploproa,52.75,-129.75,7512:229:4,1.00
Sebastes,diploproa,52.75,-129.25,7512:229:3,1.00
Sebastes,diploproa,52.25,-129.75,7512:229:2,1.00
Sebastes,diploproa,52.25,-129.25,7512:229:1,1.00
Sebastes,diploproa,52.75,-128.75,7512:228:4,0.99
Sebastes,diploproa,52.75,-128.25,7512:228:3,1.00
Sebastes,diploproa,52.25,-128.75,7512:228:2,1.00
Sebastes,diploproa,52.25,-128.25,7512:228:1,1.00
Sebastes,diploproa,52.25,-127.75,7512:227:2,1.00
Sebastes,diploproa,51.75,-129.75,7512:219:4,1.00
Sebastes,diploproa,51.75,-129.25,7512:219:3,0.99
Sebastes,diploproa,51.25,-129.75,7512:219:2,1.00
Sebastes,diploproa,51.25,-129.25,7512:219:1,1.00
Sebastes,diploproa,51.75,-128.75,7512:218:4,1.00
Sebastes,diploproa,51.75,-128.25,7512:218:3,1.00
Sebastes,diploproa,51.25,-128.75,7512:218:2,1.00
Sebastes,diploproa,51.25,-128.25,7512:218:1,1.00
Sebastes,diploproa,51.75,-127.75,7512:217:4,1.00
Sebastes,diploproa,51.25,-127.75,7512:217:2,1.00
Sebastes,diploproa,50.75,-129.75,7512:209:4,1.00
Sebastes,diploproa,50.75,-129.25,7512:209:3,1.00
Sebastes,diploproa,50.75,-128.75,7512:208:4,1.00
Sebastes,diploproa,50.75,-128.25,7512:208:3,1.00
Sebastes,diploproa,50.25,-128.25,7512:208:1,1.00
Sebastes,diploproa,50.75,-127.75,7512:207:4,1.00
Sebastes,diploproa,50.75,-127.25,7512:207:3,1.00
Sebastes,diploproa,50.25,-127.75,7512:207:2,1.00
Sebastes,diploproa,50.75,-126.75,7512:206:4,1.00
Sebastes,diploproa,50.75,-126.25,7512:206:3,1.00
Sebastes,diploproa,50.25,-126.25,7512:206:1,1.00
Sebastes,diploproa,50.25,-125.75,7512:205:2,1.00
Sebastes,diploproa,49.75,-127.75,7412:497:4,1.00
Sebastes,diploproa,49.75,-127.25,7412:497:3,1.00
Sebastes,diploproa,49.25,-127.25,7412:497:1,1.00
Sebastes,diploproa,49.75,-126.75,7412:496:4,1.00
Sebastes,diploproa,49.25,-126.75,7412:496:2,1.00
Sebastes,diploproa,49.25,-126.25,7412:496:1,1.00
Sebastes,diploproa,49.75,-125.25,7412:495:3,0.81
Sebastes,diploproa,49.25,-125.75,7412:495:2,1.00
Sebastes,diploproa,48.75,-126.75,7412:486:4,1.00
Sebastes,diploproa,48.75,-126.25,7412:486:3,1.00
Sebastes,diploproa,48.25,-126.25,7412:486:1,0.97
Sebastes,diploproa,48.75,-125.75,7412:485:4,1.00
Sebastes,diploproa,48.75,-125.25,7412:485:3,1.00
Sebastes,diploproa,48.25,-125.75,7412:485:2,1.00
Sebastes,diploproa,48.25,-125.25,7412:485:1,1.00
Sebastes,diploproa,47.75,-125.75,7412:475:4,0.89
Sebastes,diploproa,47.75,-125.25,7412:475:3,1.00
Sebastes,diploproa,46.75,-125.25,7412:465:3,1.00
Sebastes,diploproa,49.25,-124.75,7412:394:2,0.82
Sebastes,diploproa,48.75,-124.75,7412:384:4,1.00
Sebastes,diploproa,48.25,-124.75,7412:384:2,1.00
Sebastes,diploproa,47.75,-124.75,7412:374:4,1.00
Sebastes,diploproa,47.25,-124.75,7412:374:2,1.00
Sebastes,diploproa,47.25,-124.25,7412:374:1,1.00
Sebastes,diploproa,46.75,-124.75,7412:364:4,1.00
Sebastes,diploproa,46.25,-124.75,7412:364:2,1.00
Sebastes,diploproa,45.75,-124.75,7412:354:4,1.00
Sebastes,diploproa,45.75,-124.25,7412:354:3,0.81
Sebastes,diploproa,45.25,-124.75,7412:354:2,1.00
Sebastes,diploproa,45.25,-124.25,7412:354:1,1.00
Sebastes,diploproa,45.25,-123.75,7412:353:2,0.82
Sebastes,diploproa,44.75,-124.75,7412:144:4,1.00
Sebastes,diploproa,44.75,-124.25,7412:144:3,1.00
Sebastes,diploproa,44.25,-124.75,7412:144:2,1.00
Sebastes,diploproa,44.25,-124.25,7412:144:1,1.00
Sebastes,diploproa,43.75,-124.75,7412:134:4,1.00
Sebastes,diploproa,43.75,-124.25,7412:134:3,1.00
Sebastes,diploproa,43.25,-124.75,7412:134:2,1.00
Sebastes,diploproa,43.25,-124.25,7412:134:1,1.00
Sebastes,diploproa,42.75,-124.75,7412:124:4,1.00
Sebastes,diploproa,42.75,-124.25,7412:124:3,0.95
Sebastes,diploproa,42.25,-124.75,7412:124:2,1.00
Sebastes,diploproa,42.25,-124.25,7412:124:1,0.84
Sebastes,diploproa,41.75,-124.75,7412:114:4,1.00
Sebastes,diploproa,41.25,-124.75,7412:114:2,1.00
Sebastes,diploproa,40.75,-124.75,7412:104:4,1.00
Sebastes,diploproa,40.75,-124.25,7412:104:3,0.97
Sebastes,diploproa,40.25,-124.75,7412:104:2,1.00
